ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
616
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.6509867900000000e+02
0.0000000000000000e+00 2.2964238000000000e+02
-5.0000000000000000e-01 5.0000000000000000e-01
ITEM: ATOMS id fx fy fz
285 -0.0330222 -0.170869 0
310 0.0696477 0.139008 0
311 0.0163396 0.322386 0
286 -0.0337841 0.0238904 0
338 -0.554186 -0.535276 0
312 0.0156031 0.316551 0
339 0.511324 0.495753 0
313 0.0270214 0.202946 0
314 -0.439405 -0.143605 0
315 0.0894878 -0.267057 0
342 0 0 0
291 0 0 0
292 0.102882 0.0702127 0
317 -0.0196711 -0.0802173 0
239 0 0 0
293 -0.0341169 0.0736676 0
344 0.108569 0.0270561 0
318 0 0 0
319 0.00749853 0.159249 0
295 0.168879 0.0820185 0
320 -0.335303 0.356135 0
374 -0.0615138 0.0794506 0
297 0.130954 0.327037 0
323 -0.196588 -0.168772 0
324 -0.119733 0.080233 0
325 0.431986 0.445707 0
350 -0.475033 -0.582923 0
327 -0.145041 0.0153841 0
352 -0.309598 -0.00995157 0
329 0.125298 -0.0564459 0
353 0 0 0
355 0 0 0
381 0 0 0
303 0.0800629 -0.141869 0
330 -0.0825941 0.103676 0
279 0.038315 -0.00657936 0
304 0.0554101 1.47994e-05 0
331 0 0 0
307 -0.00241508 0.135979 0
333 0.309247 -0.208809 0
357 -0.186941 0.0337331 0
308 0.0140144 0.0756025 0
283 -0.0231806 -0.179418 0
284 0.00605213 0.270503 0
335 0 0 0
309 0.152815 -0.136624 0
337 0 0 0
388 0 0 0
340 0.063016 -0.0439877 0
362 0.176077 -0.0503894 0
363 -0.0166573 -0.0696358 0
341 -0.0737234 0.0368307 0
365 -0.0762638 0.00386147 0
368 -0.0567582 0.0266145 0
367 0.114712 -0.167333 0
395 0.0978796 -0.039144 0
343 -0.0183252 0.00869538 0
369 0 0 0
394 -0.237321 -0.0787435 0
396 -0.321057 0.0358055 0
421 0.111761 0.050405 0
321 0.28081 0.158258 0
345 -0.09147 0.114872 0
346 0.0580167 -0.687262 0
347 0.0529948 0.0117728 0
372 0.00473325 -0.135701 0
375 0 0 0
351 0.249316 0.162832 0
373 0.0459838 -0.458045 0
376 -0.0841086 0.110795 0
349 -0.19532 -0.148759 0
377 0.150961 -0.0940687 0
326 0 0 0
379 0.0769361 -0.0985443 0
403 0 0 0
380 0 0 0
407 0.17994 0.13003 0
408 0.0517644 0.00889288 0
433 0 0 0
382 -0.0941419 0.0272611 0
436 -0.118329 0.122985 0
409 0.0654513 -0.139667 0
410 -0.150153 -0.0376129 0
332 -0.0520212 -0.139925 0
356 0 0 0
384 -0.0327417 -0.211587 0
334 0.168789 0.0298062 0
358 -0.303943 0.0397344 0
386 0.086155 -0.0889667 0
336 -0.0367197 -0.0630969 0
359 0.0987433 -0.0249814 0
389 0 0 0
390 0.0187335 0.0897463 0
415 -0.0251276 0.0690758 0
364 0 0 0
391 -0.172988 -0.546505 0
416 0.129463 0.610717 0
392 0.0712212 0.162663 0
366 0.168718 -0.475233 0
393 -0.0462605 0.781629 0
419 -0.211318 0.0778024 0
420 0 0 0
422 -0.00915042 -0.153507 0
370 -0.430286 -0.609058 0
397 0.296711 0.633027 0
448 0.159063 -0.211403 0
